Timestamp,temp_dht,hum_dht,temp_api,hum_api
21/05/2025 0:03:09,31.00,82.00,0.00,0.00
21/05/2025 0:04:10,31.00,82.00,27.33,85.00
21/05/2025 0:05:10,31.00,82.00,27.33,85.00
21/05/2025 0:06:10,31.00,82.00,27.33,85.00
21/05/2025 0:08:16,31.60,81.00,0.00,0.00
21/05/2025 0:09:16,31.40,81.00,0.00,0.00
21/05/2025 0:10:16,31.10,81.00,0.00,0.00
21/05/2025 0:11:16,31.90,81.00,0.00,0.00
21/05/2025 0:13:17,31.80,81.00,0.00,0.00
21/05/2025 0:14:17,31.40,81.00,0.00,0.00
